"date","close","volume","open","high","low"
"16:00","9.55","485,406","9.47","9.59","9.47"
"2017/10/13","9.5500","485406.0000","9.5000","9.5900","9.4700"
"2017/10/12","9.3700","254663.0000","9.4100","9.4100","9.3300"
"2017/10/11","9.3700","257987.0000","9.3500","9.3700","9.3100"
"2017/10/10","9.4000","656920.0000","9.3200","9.4200","9.2900"
"2017/10/09","9.2500","174102.0000","9.2500","9.2800","9.2200"
"2017/10/06","9.1800","240078.0000","9.2000","9.2033","9.1300"
"2017/10/05","9.1700","214143.0000","9.2200","9.2300","9.1450"
"2017/10/04","9.2450","480964.0000","9.2400","9.2840","9.2200"
"2017/10/03","9.3600","288130.0000","9.3900","9.3900","9.3000"
"2017/10/02","9.2400","830836.0000","9.2200","9.2500","9.1400"
"2017/09/29","9.4600","661651.0000","9.3500","9.4700","9.3300"
"2017/09/28","9.3300","664768.0000","9.3800","9.4100","9.3100"
"2017/09/27","9.0600","926082.0000","9.1400","9.1600","9.0100"
"2017/09/26","9.1700","532243.0000","9.1800","9.2770","9.1400"
"2017/09/25","9.1900","1764268.0000","9.4100","9.4100","9.1600"
"2017/09/22","9.8100","307597.0000","9.7500","9.8600","9.7500"
"2017/09/21","9.7000","308301.0000","9.7200","9.7400","9.6700"
"2017/09/20","9.6000","811546.0000","9.5400","9.6500","9.4600"
"2017/09/19","9.5300","559016.0000","9.5100","9.5800","9.4800"
"2017/09/18","9.4200","1088227.0000","9.5700","9.5900","9.3800"
"2017/09/15","9.6700","815100.0000","9.7200","9.7700","9.6000"
"2017/09/14","9.8600","739301.0000","9.9200","9.9200","9.7800"
"2017/09/13","10.0600","730652.0000","10.1600","10.1900","10.0400"
"2017/09/12","10.1500","297691.0000","10.1600","10.2200","10.1213"
"2017/09/11","10.1600","245281.0000","10.1900","10.2000","10.1200"
"2017/09/08","10.1400","239608.0000","10.2400","10.2400","10.0700"
"2017/09/07","10.2300","332885.0000","10.2500","10.2700","10.2000"
"2017/09/06","10.0700","1982837.0000","10.1800","10.2400","10.0425"
"2017/09/05","9.9700","841098.0000","10.1600","10.1799","9.8400"
"2017/09/01","10.2200","301753.0000","10.2800","10.2800","10.1400"
"2017/08/31","10.2700","492483.0000","10.2400","10.3255","10.2200"
"2017/08/30","10.3100","752320.0000","10.4900","10.4900","10.2700"
"2017/08/29","10.5200","363520.0000","10.4800","10.5600","10.3100"
"2017/08/28","10.6700","492737.0000","10.5500","10.7400","10.5400"
"2017/08/25","10.5850","279922.0000","10.4300","10.5893","10.4100"
"2017/08/24","10.4100","232694.0000","10.4500","10.4601","10.4100"
"2017/08/23","10.4100","134498.0000","10.4100","10.4400","10.3200"
"2017/08/22","10.4400","550127.0000","10.3900","10.5100","10.3511"
"2017/08/21","10.3700","233845.0000","10.3600","10.4300","10.3300"
"2017/08/18","10.3200","316399.0000","10.2500","10.3900","10.2207"
"2017/08/17","10.2800","540929.0000","10.3700","10.4300","10.2600"
"2017/08/16","10.4900","276972.0000","10.4900","10.5300","10.4300"
"2017/08/15","10.4200","342240.0000","10.3600","10.4200","10.2900"
"2017/08/14","10.4000","135036.0000","10.4000","10.4500","10.3700"
"2017/08/11","10.3100","358491.0000","10.2500","10.3400","10.2500"
"2017/08/10","10.2300","852121.0000","10.3900","10.4400","10.2200"
"2017/08/09","10.4400","282611.0000","10.4200","10.4695","10.4050"
