"date","close","volume","open","high","low"
"16:00","0.37","4,462,730","N/A","0.37","0.35"
"2017/10/13","0.3700","4462730.0000","0.3575","0.3700","0.3500"
"2017/10/12","0.3519","1441600.0000","0.3500","0.3550","0.3426"
"2017/10/11","0.3500","1666960.0000","0.3550","0.3560","0.3413"
"2017/10/10","0.3530","2089714.0000","0.3455","0.3548","0.3360"
"2017/10/09","0.3410","829839.0000","0.3410","0.3410","0.3360"
"2017/10/06","0.3310","2578883.0000","0.3315","0.3450","0.3082"
"2017/10/05","0.3434","820471.0000","0.3410","0.3540","0.3400"
"2017/10/04","0.3498","768505.0000","0.3480","0.3600","0.3425"
"2017/10/03","0.3580","877415.0000","0.3435","0.3590","0.3435"
"2017/10/02","0.3520","1160926.0000","0.3550","0.3600","0.3450"
"2017/09/29","0.3560","358345.0000","0.3580","0.3700","0.3540"
"2017/09/28","0.3565","2053742.0000","0.3400","0.3600","0.3400"
"2017/09/27","0.3283","975974.0000","0.3221","0.3283","0.3210"
"2017/09/26","0.3263","1294622.0000","0.3325","0.3350","0.3236"
"2017/09/25","0.3300","3931494.0000","0.3405","0.3410","0.3210"
"2017/09/22","0.3665","3077798.0000","0.3655","0.3692","0.3610"
"2017/09/21","0.3550","2489859.0000","0.3600","0.3699","0.3520"
"2017/09/20","0.3500","2767617.0000","0.3320","0.3500","0.3320"
"2017/09/19","0.3270","2346601.0000","0.3323","0.3380","0.3225"
"2017/09/18","0.3178","4983887.0000","0.3400","0.3410","0.3110"
"2017/09/15","0.3440","3759477.0000","0.3413","0.3500","0.3350"
"2017/09/14","0.3600","3072990.0000","0.3700","0.3750","0.3480"
"2017/09/13","0.3750","798132.0000","0.3725","0.3898","0.3725"
"2017/09/12","0.3800","598795.0000","0.3875","0.3875","0.3760"
"2017/09/11","0.3780","854771.0000","0.3728","0.3800","0.3705"
"2017/09/08","0.3720","1145381.0000","0.3700","0.3750","0.3655"
"2017/09/07","0.3700","2669683.0000","0.3700","0.3765","0.3680"
"2017/09/06","0.3600","1006756.0000","0.3400","0.3650","0.3400"
"2017/09/05","0.3480","3483788.0000","0.3609","0.3620","0.3450"
