"date","close","volume","open","high","low"
"16:00","0.368","4,423","N/A","0.368","0.368"
"2017/10/13","0.3680","4423.0000","0.3680","0.3680","0.3680"
"2017/10/12","0.3380","2120.0000","0.3410","0.3410","0.3380"
"2017/10/11","0.3488","7464.0000","0.3500","0.3500","0.3475"
"2017/10/10","0.3350","0.0000","0.3350","0.3350","0.3350"
"2017/10/09","0.3350","146600.0000","0.3400","0.3400","0.3350"
"2017/10/06","0.3270","0.0000","0.3270","0.3270","0.3270"
"2017/10/05","0.3270","0.0000","0.3270","0.3270","0.3270"
"2017/10/04","0.3270","0.0000","0.3270","0.3270","0.3270"
"2017/10/03","0.3270","0.0000","0.3270","0.3270","0.3270"
"2017/10/02","0.3270","0.0000","0.3270","0.3270","0.3270"
"2017/09/29","0.3270","17022.0000","0.3490","0.3490","0.3270"
"2017/09/28","0.3462","1300.0000","0.3380","0.3462","0.3380"
"2017/09/27","0.3220","10000.0000","0.3220","0.3220","0.3220"
"2017/09/26","0.3110","4239.0000","0.3292","0.3292","0.3110"
"2017/09/25","0.3272","13000.0000","0.3272","0.3272","0.3272"
"2017/09/22","0.3706","0.0000","0.3706","0.3706","0.3706"
"2017/09/21","0.3706","500.0000","0.3706","0.3706","0.3706"
"2017/09/20","0.3300","0.0000","0.3300","0.3300","0.3300"
"2017/09/19","0.3300","8000.0000","0.3300","0.3300","0.3300"
"2017/09/18","0.3272","51500.0000","0.3130","0.3276","0.3110"
"2017/09/15","0.3456","3000.0000","0.3456","0.3456","0.3456"
"2017/09/14","0.3760","1743.0000","0.3760","0.3760","0.3760"
"2017/09/13","0.3780","0.0000","0.3780","0.3780","0.3780"
"2017/09/12","0.3780","0.0000","0.3780","0.3780","0.3780"
"2017/09/11","0.3780","7000.0000","0.3780","0.3780","0.3780"
"2017/09/08","0.4046","0.0000","0.4046","0.4046","0.4046"
"2017/09/07","0.4046","4500.0000","0.4070","0.4070","0.4046"
"2017/09/06","0.3845","20000.0000","0.3957","0.3957","0.3845"
"2017/09/05","0.3892","5000.0000","0.3950","0.3950","0.3892"
"2017/09/01","0.3900","6000.0000","0.3900","0.3900","0.3900"
"2017/08/31","0.3860","73000.0000","0.4000","0.4000","0.3800"
"2017/08/30","0.4240","6751.0000","0.4231","0.4240","0.4231"
"2017/08/29","0.4240","428333.0000","0.4290","0.4290","0.4240"
"2017/08/28","0.4457","5100.0000","0.4408","0.4457","0.4408"
"2017/08/25","0.4139","0.0000","0.4139","0.4139","0.4139"
"2017/08/24","0.4139","0.0000","0.4139","0.4139","0.4139"
"2017/08/23","0.4139","0.0000","0.4139","0.4139","0.4139"
"2017/08/22","0.4139","0.0000","0.4139","0.4139","0.4139"
"2017/08/21","0.4139","666.0000","0.4139","0.4139","0.4139"
"2017/08/18","0.4140","994.0000","0.4430","0.4430","0.4140"
"2017/08/17","0.4474","64853.0000","0.4474","0.4474","0.4474"
"2017/08/16","0.4447","0.0000","0.4447","0.4447","0.4447"
"2017/08/15","0.4447","0.0000","0.4447","0.4447","0.4447"
"2017/08/14","0.4447","3100.0000","0.4245","0.4447","0.4245"
"2017/08/11","0.4092","1566.0000","0.4245","0.4245","0.4092"
"2017/08/10","0.4250","10534.0000","0.4130","0.4250","0.4130"
