“percent_TNA”,”Name”,”mkt_price”,”shares”,”mkt_value”
12.627,"HELLENIC TELECOMMUN ORGAN",12.06,"3,735,771.00","45,054,569.06"
12.319,"ALPHA BANK A.E.",2.08,"21,100,839.00","43,953,837.81"
8.467,"NATIONAL BANK OF GREECE",0.36,"84,800,513.00","30,209,906.75"
8.283,"OPAP SA",10.82,"2,732,008.00","29,553,748.43"
3.990,"EUROBANK ERGASIAS SA",0.87,"16,341,913.00","14,235,250.64"
3.793,"GASLOG LTD",17.60,"768,975.00","13,533,960.00"
3.304,"JUMBO SA",16.92,"696,493.00","11,787,920.63"
3.243,"GASLOG PARTNERS LP",23.50,"492,439.00","11,572,316.50"
2.906,"TITAN CEMENT CO. S.A.",25.09,"413,209.00","10,367,881.93"
2.905,"MYTILINEOS HOLDINGS S.A.",10.07,"1,029,195.00","10,366,010.33"
2.674,"HELLENIC PETROLEUM SA",8.63,"1,105,897.00","9,541,718.90"
2.655,"PIRAEUS BANK S.A",3.12,"3,031,461.00","9,471,970.17"
2.499,"MOTOR OIL (HELLAS) SA",23.19,"384,600.00","8,917,192.16"
2.496,"MOTOR OIL(HELLAS) SA-UNS",11.59,"768,300.00","8,906,748.24"
2.296,"GRIVALIA PROPERTIES REIC",10.53,"777,752.00","8,192,483.08"
2.174,"FF GROUP",20.88,"371,502.00","7,756,113.34"
2.097,"OPAP SA-UNSPON ADR",5.33,"1,404,900.00","7,482,497.40"
2.030,"CAPITAL PRODUCT PARTNERS",3.56,"2,034,083.00","7,241,335.48"
1.864,"HELLENIC EXCHANGES - ATHE",5.68,"1,170,951.00","6,652,185.77"
1.779,"AEGEAN AIRLINES",9.55,"664,410.00","6,345,912.87"
1.768,"MYTILINEOS HOLDINGS-UNSP",10.07,"626,200.00","6,307,086.40"
1.613,"JUMBO SA-ADR",16.92,"340,000.00","5,754,398.00"
1.557,"TSAKOS ENERGY NAVIGATION",4.55,"1,221,064.00","5,555,841.20"
1.546,"TITAN CEMENT CO SA-ADR",12.55,"439,800.00","5,517,554.88"
1.451,"PUBLIC POWER CORP",2.38,"2,176,030.00","5,176,608.79"
1.408,"ELLAKTOR SA",1.89,"2,652,629.00","5,023,205.04"
1.235,"FOLLI FOLLIE GROU-UNSPON",22.00,"200,300.00","4,406,600.00"
1.196,"DORIAN LPG LTD",7.72,"552,981.00","4,269,013.32"
1.102,"LAMDA DEVELOPMENT SA",7.89,"497,989.00","3,931,243.94"
1.053,"ATHENS WATER SUPPLY & SEW",7.07,"531,595.00","3,756,121.47"
0.795,"AEGEAN MARINE PETROLEUM N",4.40,"644,880.00","2,837,472.00"
0.687,"TERNA ENERGY SA",4.94,"496,978.00","2,452,774.53"
0.201,CASH,1.00,"718,598.52","718,370.62"
